match_id,hero_0,hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,radiant_win
4154000815,83,64,93,99,22,110,32,41,92,11,False
4152494309,23,120,82,18,26,108,31,7,14,44,False
4152425012,121,18,106,21,86,10,82,112,110,14,False
4152417604,77,93,45,26,7,119,14,4,106,70,False
4152114308,9,114,37,56,96,74,6,2,112,121,False
4151957002,74,23,41,111,56,63,26,4,36,7,True
4151930402,97,5,7,10,114,100,12,84,106,45,True
4151770801,36,64,45,46,18,121,17,112,56,70,False
4150749916,64,17,84,41,2,114,21,83,32,63,False
4146904609,27,49,1,82,19,6,7,110,17,70,False
4146702114,82,33,75,14,8,61,1,31,51,86,True
4146033103,73,8,87,36,32,121,7,11,63,6,True
4143777212,63,74,27,41,119,88,42,101,121,109,False
4143677415,41,84,36,30,12,87,1,34,14,88,False
4143290013,5,110,7,74,70,88,34,36,9,32,False
4142500016,14,5,95,21,55,74,114,81,70,53,True
4142325303,111,36,20,17,63,102,112,109,7,26,True
4142224915,119,27,74,8,114,59,32,101,110,37,False
4142209515,39,67,19,5,114,7,17,41,42,9,True
4142187419,84,17,104,70,14,119,36,81,2,37,False
4141935114,22,9,7,41,86,73,6,110,63,21,False
4141386802,1,58,101,22,7,45,12,102,106,5,False
4141191014,32,34,96,40,75,9,64,6,17,14,True
4140701811,99,14,95,25,5,2,21,17,32,8,True
4140665811,7,95,71,59,64,110,22,44,83,32,False
4140667018,73,70,66,63,26,68,17,110,32,40,True
4140443315,42,112,17,63,107,14,19,44,3,105,True
4140170915,74,107,93,32,9,39,4,99,14,75,False
4139801201,121,22,84,2,114,1,7,34,20,102,True
4137195516,78,62,5,67,19,83,8,74,4,105,True
4136807004,75,74,21,7,56,64,83,25,95,9,True
4136209913,112,74,4,7,12,75,32,63,84,73,False
4136189416,86,42,9,36,101,83,106,110,41,34,True
4135640108,2,35,105,1,36,16,37,58,6,74,False
4135632417,121,70,19,22,75,85,83,110,4,67,True
4134881511,5,28,12,51,82,70,9,75,83,17,True
4132833315,84,121,56,53,6,32,92,42,9,25,True
4131912206,22,50,114,9,84,86,69,36,7,46,False
4131736414,101,70,74,100,63,23,86,42,14,82,False
4129216302,62,106,19,110,70,14,25,108,32,113,True
4129056908,106,41,4,119,14,42,74,7,104,21,False
4128899003,87,42,114,75,81,34,63,17,119,14,True
4128887900,14,30,93,96,34,119,64,59,12,36,False
4128822318,86,120,12,75,17,34,5,63,67,30,False
4128238416,37,17,109,57,112,14,93,114,85,5,False
4125366302,41,14,20,26,23,110,121,114,22,21,True
4124820503,4,3,34,121,42,19,14,114,82,27,True
4124562700,72,63,45,5,7,41,20,92,53,66,False
4124012004,42,47,63,32,27,72,49,59,91,75,True
4123210408,6,71,85,46,36,73,14,8,62,22,True
4119038611,5,70,12,121,114,73,85,95,2,64,False
4118473109,76,50,2,84,67,75,44,14,1,28,True
4117183211,106,14,30,42,41,74,93,21,27,104,True
4117017908,30,70,22,121,19,31,7,73,54,21,True
4116810309,42,56,100,82,112,119,63,20,80,6,True
4116740816,14,42,75,61,73,86,45,7,12,29,True
4115195104,67,7,45,74,102,39,12,121,69,75,True
4114771916,32,19,67,53,47,5,70,22,21,54,True
4114656219,27,67,121,22,2,49,12,7,39,14,True
4114476211,121,44,42,75,73,7,106,70,52,14,True
4113777913,93,104,56,1,34,26,14,67,21,101,False
4112364709,7,42,44,5,34,112,22,63,62,36,False
4112150804,45,27,12,61,42,77,5,7,56,78,False
4111679808,42,22,63,82,85,12,86,2,17,7,True
4111451405,119,61,7,32,2,121,67,4,26,69,True
4111223713,19,72,75,73,26,121,100,114,113,2,False
4110667412,6,17,75,98,14,23,70,88,5,19,False
4110382013,7,85,12,74,44,83,22,23,106,110,False
4109441010,63,20,22,14,6,119,42,67,17,26,False
4109329312,71,42,67,74,100,54,7,98,53,12,False
4107869609,93,14,20,42,46,11,2,51,119,67,False
4107836108,70,87,25,23,79,9,121,19,48,64,True
4107530102,44,75,19,106,42,36,30,56,12,119,False
4105880112,63,85,121,74,9,82,75,109,42,20,True
4105668913,63,25,121,4,37,110,74,21,83,41,False
4105387504,56,119,63,7,113,4,74,42,23,31,False
4105303017,20,12,63,76,7,42,53,41,34,5,True
4103786205,75,42,119,106,70,14,17,30,9,8,True
4102635603,121,61,110,4,7,14,8,83,74,63,False
4102490001,110,14,63,7,36,71,54,56,121,22,True
4099206616,84,67,64,42,35,90,73,11,85,70,False
4098804201,55,14,121,39,114,15,20,58,100,34,True
4097376111,56,120,5,114,14,17,41,104,27,119,True
4096747218,93,22,19,119,26,67,27,110,106,37,True
4096083708,34,56,14,112,114,63,17,7,1,121,False
4154619902,19,64,56,36,107,25,48,75,78,110,True
4154362216,104,17,121,54,3,63,109,7,27,73,False
4153330202,25,85,75,56,52,82,7,67,5,14,True
4152582114,5,97,110,114,39,56,17,7,29,9,True
4152016708,7,104,12,68,88,27,106,22,62,103,True
4151538411,121,106,22,75,114,1,7,34,14,87,False
4150927114,36,12,39,86,83,63,27,40,14,11,True
4150882907,48,75,12,121,96,73,119,7,21,74,True
4149271306,35,75,65,7,8,67,5,51,102,94,True
4148618302,42,7,22,9,113,121,67,10,96,37,False
4145833706,121,42,110,17,20,95,71,7,87,47,False
